rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/loss,train/min_reward,train/max_reward,train/mean_reward,eval/mean_reward,train/std_reward
0.19331985999999998,162.03,1338,25,38,51200,-0.09285598745918833,0.0001,0.07604575,240,0.494970703125,0.2,-1.5521044660359622,0.0010879337475671492,0.04652070999145508,-0.13326838612556458,,,,,
0.20978390000000002,165.16,1392,26,38,53248,-0.1009085592464544,0.0001,0.078270346,250,0.51328125,0.2,-1.551959763467312,0.0010553604884989908,-0.022232532501220703,-0.12913529574871063,,,,,
0.22075693000000002,162.19,1445,27,38,55296,-0.09563279727008193,0.0001,0.07905497,260,0.50126953125,0.2,-1.5028611805289984,0.0010807376734192076,0.0369073748588562,-0.12225379049777985,,,,,
0.24198260000000002,153.19,1501,28,38,57344,-0.09664274265524,0.0001,0.08954482,270,0.50859375,0.2,-1.436183350160718,0.001318069938224653,0.1019633412361145,-0.1297926902770996,,,,,
0.25910819,145.53,1553,29,38,59392,-0.09210215610510204,0.0001,0.08567801,280,0.486572265625,0.2,-1.4238525945693254,0.0012304521030273464,0.1139366626739502,-0.12653085589408875,,,,,
0.27692853,144.65,1605,30,38,61440,-0.09804225927800872,0.0001,0.09201434,290,0.51015625,0.2,-1.400113470852375,0.001214886275374738,0.16560876369476318,-0.14571009576320648,,,,,
0.29554427,147.43,1659,31,38,63488,-0.09562866358319297,0.0001,0.093666166,300,0.50283203125,0.2,-1.3544302716851235,0.0011433900503106998,0.3089430332183838,-0.13606038689613342,,,,,
0.30953465999999996,143.35,1711,32,38,65536,-0.08970115928386804,0.0001,0.10525979,310,0.516845703125,0.2,-1.315697828680277,0.0015263324466104678,0.26929450035095215,-0.14190977811813354,,,,,
0.3159170600000001,134.16,1767,33,38,67584,-0.09000793433515356,0.0001,0.10810678,320,0.506396484375,0.2,-1.2562846530228853,0.0012170750801487884,0.27181464433670044,-0.13149616122245789,,,,,
0.33364936000000006,131.93,1821,34,38,69632,-0.09391363742179237,0.0001,0.115527496,330,0.5126953125,0.2,-1.2745680622756481,0.001419909028300026,0.2606278657913208,-0.1464756578207016,,,,,
0.34264241,121.23,1875,35,38,71680,-0.09382177232182584,0.0001,0.1225087,340,0.517138671875,0.2,-1.237055490911007,0.0014416422778595005,0.07299792766571045,-0.1235671266913414,,,,,
0.35764784,111.57,1925,36,38,73728,-0.09436041819280945,0.0001,0.12008848,350,0.512353515625,0.2,-1.1398975014686585,0.0017384631795721362,0.19342690706253052,-0.12520907819271088,,,,,
0.36687549999999997,101.99,1970,37,38,75776,-0.08909604427171872,0.0001,0.12079656,360,0.491943359375,0.2,-1.1257985804229975,0.0015559421732177724,0.21422618627548218,-0.1131199449300766,,,,,
0.37352171,95.29,2022,38,38,77824,-0.08933329246938229,0.0001,0.13531709,370,0.489697265625,0.2,-1.0453674975782632,0.0020232135633705185,0.3371385931968689,-0.11378489434719086,,,,,
0.37893307,89.64,2073,39,38,79872,-0.08781803514284547,0.0001,0.13930994,380,0.488720703125,0.2,-1.008856723457575,0.0021553959215452776,0.2803821563720703,-0.1162894144654274,,,,,
0.35227354999999994,79.63,2125,40,38,81920,-0.08491758189338725,0.0001,0.14810619,390,0.483935546875,0.2,-0.9852902613580227,0.0024276410385937197,0.35479211807250977,-0.1432771235704422,,,,,
0.37858140999999995,82.4,2178,41,38,83968,-0.08589505535783246,0.0001,0.12222697,400,0.44951171875,0.2,-0.9973970543593168,0.002663597786886385,0.27665913105010986,-0.11812226474285126,,,,,
0.37489371,79.6,2230,42,38,86016,-0.08408734388940502,0.0001,0.14067335,410,0.464013671875,0.2,-0.9519360808655619,0.0025605185594031353,0.3738213777542114,-0.13037936389446259,,,,,
0.39529327999999997,84.35,2284,43,38,88064,-0.08159764977754094,0.0001,0.13323766,420,0.448193359375,0.2,-0.9028362290933728,0.002970319638006913,0.35634416341781616,-0.12502704560756683,,,,,
0.4217607399999999,90.08,2336,44,38,90112,-0.08257125436794013,0.0001,0.14159757,430,0.447412109375,0.2,-0.914325263351202,0.002888953743422462,0.35678815841674805,-0.13252031803131104,,,,,
0.43674053999999995,96.45,2387,45,38,92160,-0.08103372197947464,0.0001,0.14161,440,0.44599609375,0.2,-0.879819949157536,0.002725985934557684,0.38393497467041016,-0.13321952521800995,,,,,
0.45532019999999995,102.33,2441,46,38,94208,-0.08297441049362533,0.0001,0.128593,450,0.46064453125,0.2,-0.9486185668036342,0.002511030252935598,0.3291993737220764,-0.11093652248382568,,,,,
0.4701511,103.8,2495,47,38,96256,-0.07976153459167108,0.0001,0.1478039,460,0.457421875,0.2,-0.8866439139470458,0.0023527623461632174,0.4347153902053833,-0.11351079493761063,,,,,
0.49051684,109.48,2547,48,38,98304,-0.0825421109679155,0.0001,0.14381509,470,0.453125,0.2,-0.869448172673583,0.0028427934852516047,0.4651579260826111,-0.1254575401544571,,,,,
,,,,,,-0.08737211668631062,0.0001,0.16875032,480,0.463525390625,0.2,-0.8880365753546358,0.002284123715799069,0.46854037046432495,-0.13576000928878784,-0.003918,1.035846,0.52093864,0.6007717884454905,0.23183271320573032
0.5179096299999999,117.75,2726,49,36,100352,,,,,,,,,,,,,,,
0.5442305300000001,122.81,2777,50,36,102400,-0.08490436007268727,0.0001,0.17707574,490,0.485546875,0.2,-0.857130085863173,0.002062159222077753,0.6054743826389313,-0.11882767826318741,,,,,
0.55750681,126.22,2827,51,36,104448,-0.08663078385870904,0.0001,0.17862117,500,0.47490234375,0.2,-0.8684718735516072,0.002200238878504024,0.6032057106494904,-0.11876029521226883,,,,,
