#{"t_start": 1746744840.35109, "env_id": "None"}
r,l,t
-340.0,75,168.317841
-197.0,65,169.575955
-61.0,36,170.138003
95.0,2,170.195004
91.0,3,170.247014
-350.0,75,171.910174
-335.0,75,173.683361
62.0,9,173.83838
-49.0,33,174.403382
-365.0,75,175.862475
95.0,2,175.953474
5.0,21,176.313515
-20.0,27,176.794544
91.0,3,176.846544
5.0,22,177.512602
87.0,4,177.6376
71.0,7,177.7926
95.0,2,177.798601
-335.0,75,178.820658
-340.0,75,179.827682
87.0,4,179.908681
62.0,9,180.016691
79.0,6,180.180727
-340.0,75,181.732855
-360.0,75,183.001967
87.0,4,183.019966
-142.0,55,184.173013
-52.0,35,184.661072
-335.0,75,186.060072
62.0,9,186.31407
-91.0,41,187.060071
-345.0,75,188.323114
-236.0,71,190.069238
-137.0,55,191.073295
-45.0,32,191.778339
-70.0,37,192.428372
-350.0,75,193.641423
-350.0,75,194.628436
-345.0,75,195.982519
91.0,3,196.108523
-350.0,75,197.741665
-350.0,75,198.905756
-345.0,75,200.578834
52.0,10,200.693833
95.0,2,200.816846
-179.0,63,201.88396
-355.0,75,203.717672
-300.0,75,205.429853
-300.0,75,206.142891
-300.0,75,207.185931
-300.0,75,208.388034
-300.0,75,209.532057
-335.0,75,210.526093
71.0,8,210.72811
-345.0,75,212.327252
-345.0,75,213.619399
-335.0,75,215.04049
-335.0,75,216.853608
-213.0,69,218.455724
29.0,16,218.963722
-340.0,75,220.085783
-345.0,75,221.603894
79.0,6,221.760893
-68.0,39,222.520916
-335.0,75,223.471023
79.0,6,223.582025
-25.0,27,224.090043
-167.0,57,225.163159
38.0,15,225.359168
-345.0,75,226.90317
-159.0,58,227.845254
-330.0,75,229.42441
-345.0,75,230.867443
-330.0,75,232.113578
-365.0,75,233.346637
-231.0,71,234.819737
54.0,11,235.019748
95.0,2,235.024747
-335.0,75,236.169796
95.0,2,236.204796
50.0,12,236.422327
54.0,11,236.568349
95.0,2,236.685357
-228.0,69,238.027356
-345.0,75,240.237389
-340.0,75,241.941442
-188.0,64,243.236649
79.0,6,243.32968
-206.0,71,245.108288
-345.0,75,246.832325
95.0,2,246.839325
-320.0,75,248.50351
-335.0,75,249.51157
83.0,5,249.578571
71.0,8,249.732574
-345.0,75,251.072303
91.0,3,251.080302
-46.0,31,251.653405
-154.0,57,252.319508
22.0,19,252.475512
-340.0,75,253.859625
-150.0,56,254.756725
-350.0,75,256.801446
-340.0,75,258.29351
-213.0,69,259.99365
-50.0,32,260.324651
-157.0,55,261.352758
95.0,2,261.367757
79.0,6,261.550782
-335.0,75,262.808944
-79.0,43,263.775076
75.0,7,263.851075
91.0,3,263.872075
87.0,4,263.906078
91.0,3,263.934075
-330.0,75,265.606155
-345.0,75,267.02328
72.0,6,267.074292
-45.0,32,267.665369
-340.0,75,268.884543
-350.0,75,270.434153
-139.0,53,271.265183
95.0,2,271.315181
-345.0,75,273.280431
-19.0,27,273.725954
-320.0,75,274.628036
79.0,6,274.646038
91.0,3,274.679036
