time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/mean_reward,train/max_reward,train/min_reward,eval/mean_reward,train/std_reward
1428,175.38,27,38,55296,-5.4191439999999975,0.11675018072128296,0.0001,-0.09596969187259674,-0.6610025389119982,260,0.2,0.07676803507929435,0.420361328125,0.10969414,-0.08092901514610276,,,,,
1482,185.08,28,38,57344,-5.654556000000001,-0.090354323387146,0.0001,-0.10041001439094543,-0.6558989245444536,270,0.2,0.07223183409514604,0.437841796875,0.10433517,-0.07791923624172341,,,,,
1536,195.61,29,38,59392,-5.939552000000001,0.04787492752075195,0.0001,-0.12250375747680664,-0.6199074853211641,280,0.2,0.05789674168190686,0.42900390625,0.13618252,-0.08109347746940329,,,,,
1589,202.38,30,38,61440,-6.098865999999998,0.035049378871917725,0.0001,-0.08887414634227753,-0.6135306686162949,290,0.2,0.06547580060869222,0.39951171875,0.11491414,-0.0716358100020443,,,,,
1641,205.02,31,38,63488,-6.150084999999999,0.08157175779342651,0.0001,-0.0953836739063263,-0.5999134529381991,300,0.2,0.072576312685851,0.422705078125,0.120953545,-0.07193148706573993,,,,,
1696,211.26,32,38,65536,-6.3268499999999985,0.22784793376922607,0.0001,-0.09439507126808167,-0.623631757684052,310,0.2,0.07075785604829435,0.4240234375,0.11109033,-0.07809786444122438,,,,,
1749,219.36,33,38,67584,-6.536422,0.1371724009513855,0.0001,-0.11653071641921997,-0.6595686389133334,320,0.2,0.07545831687457394,0.432763671875,0.12046881,-0.07984520407917443,,,,,
1801,231.67,34,38,69632,-6.8349509999999984,0.039211392402648926,0.0001,-0.11736223846673965,-0.6061212139204144,330,0.2,0.05703201147262007,0.438671875,0.13429767,-0.08126070871658157,,,,,
1854,236.76,35,38,71680,-6.948017000000001,-0.11413705348968506,0.0001,-0.12324847280979156,-0.597505490668118,340,0.2,0.05744306206252077,0.438232421875,0.16986498,-0.08440700256614946,,,,,
1907,246.99,36,38,73728,-7.181594999999999,0.04928743839263916,0.0001,-0.08527224510908127,-0.6052119370549918,350,0.2,0.06823695192142623,0.4400390625,0.15154503,-0.08005331242165994,,,,,
1960,249.44,37,38,75776,-7.2274020000000005,-0.1308271884918213,0.0001,-0.10442301630973816,-0.5952034566551447,360,0.2,0.05126720179760014,0.4455078125,0.15326285,-0.08235413207439705,,,,,
2013,260.98,38,38,77824,-7.520762000000001,0.10671830177307129,0.0001,-0.12737171351909637,-0.6187226534821093,370,0.2,0.06803384612285299,0.4287109375,0.12883165,-0.08153548313712236,,,,,
2067,265.83,39,38,79872,-7.666105,0.025162041187286377,0.0001,-0.07746706902980804,-0.5850992954336107,380,0.2,0.059966293736943045,0.42509765625,0.16369364,-0.07458157975052018,,,,,
2120,268.95,40,38,81920,-7.767479999999999,0.24331295490264893,0.0001,-0.11110583692789078,-0.6111507652327418,390,0.2,0.0498233905309462,0.47236328125,0.1626952,-0.07785940410685725,,,,,
2174,278.6,41,38,83968,-8.018253,0.16969692707061768,0.0001,-0.10500330477952957,-0.6218361249193549,400,0.2,0.06216677284610341,0.450537109375,0.1468497,-0.08298129526956473,,,,,
2227,283.24,42,38,86016,-8.147877999999999,0.011185765266418457,0.0001,-0.10342002660036087,-0.586424024309963,410,0.2,0.05257143441413063,0.4240234375,0.14905092,-0.08086243520956486,,,,,
2281,285.5,43,38,88064,-8.185062,-0.08177053928375244,0.0001,-0.12817296385765076,-0.5676600829698145,420,0.2,0.058954918835661375,0.423583984375,0.14230622,-0.07367191374360119,,,,,
2337,296.88,44,38,90112,-8.493651999999999,0.09997957944869995,0.0001,-0.1029091328382492,-0.5973195744678378,430,0.2,0.05908637291868217,0.436181640625,0.143594,-0.07365937942813616,,,,,
2390,304.47,45,38,92160,-8.657345999999999,-0.16872966289520264,0.0001,-0.09758482128381729,-0.5859910001978278,440,0.2,0.05700499801459955,0.428662109375,0.16531818,-0.07723455025115981,,,,,
