time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/loss,train/learning_rate,train/n_updates,train/std_reward,train/min_reward,eval/mean_reward,train/max_reward,train/mean_reward
50,6162,312554,122.54,0.05,0.63617135,4880,4.9267298891209066e-05,0.0001,65638,,,,,
50,6167,312753,119.76,0.05,0.6228967,4884,6.216508336365223e-05,0.0001,65688,,,,,
50,6180,313286,119.25,0.05,0.6154438299999999,4888,9.94927977444604e-05,0.0001,65821,,,,,
50,6182,313369,114.5,0.05,0.58122208,4892,0.00014483816630672663,0.0001,65842,,,,,
50,6188,313630,110.81,0.05,0.56558484,4896,0.00010309625940863043,0.0001,65907,,,,,
50,6192,313806,107.04,0.05,0.54840531,4900,7.716604159213603e-05,0.0001,65951,,,,,
50,6203,314244,107.16,0.05,0.5434871,4904,0.00015921395970508456,0.0001,66060,,,,,
50,6207,314434,102.85,0.05,0.5174698500000001,4908,0.00011244570487178862,0.0001,66108,,,,,
50,6218,314860,103.95,0.05,0.52443236,4912,0.0005329984705895185,0.0001,66214,,,,,
50,6226,315189,100.8,0.05,0.51074925,4916,0.00010862386989174411,0.0001,66297,,,,,
50,6239,315748,100.34,0.05,0.50423383,4920,0.00019771991355810314,0.0001,66436,,,,,
50,6248,316134,97.92,0.05,0.49368755,4924,0.00011367531988071278,0.0001,66533,,,,,
50,6262,316720,101.9,0.05,0.51045338,4928,0.0001609153114259243,0.0001,66679,,,,,
50,6273,317224,100.79,0.05,0.5019211299999999,4932,5.554428935283795e-05,0.0001,66805,,,,,
50,6290,317937,103.36,0.05,0.50628243,4936,8.5085368482396e-05,0.0001,66984,,,,,
50,6302,318426,103.15,0.05,0.49844822999999994,4940,0.00031537332688458264,0.0001,67106,,,,,
50,6310,318800,102.6,0.05,0.49349864000000004,4944,5.170109943719581e-05,0.0001,67199,,,,,
50,6318,319096,100.09,0.05,0.48101794000000003,4948,6.969722744543105e-05,0.0001,67273,,,,,
50,6327,319497,97.51,0.05,0.46688163000000005,4952,4.5421016693580896e-05,0.0001,67374,,,,,
50,6331,319638,93.64,0.05,0.45110342000000003,4956,7.383165211649612e-05,0.0001,67409,,,,,
50,6344,320222,93.02,0.05,0.44805369999999994,4960,4.190122490399517e-05,0.0001,67555,,,,,
50,6354,320650,94.44,0.05,0.46412161000000013,4964,0.00011034507770091295,0.0001,67662,,,,,
50,6361,320881,92.45,0.05,0.46193179000000006,4968,0.00012120995961595327,0.0001,67720,,,,,
50,6368,321222,90.64,0.05,0.45825602,4972,6.671485607512295e-05,0.0001,67805,,,,,
50,6384,321831,93.85,0.05,0.47886929,4976,9.465270704822615e-05,0.0001,67957,,,,,
50,6398,322443,98.89,0.05,0.49539972999999987,4980,0.00016674166545271873,0.0001,68110,,,,,
50,6416,323208,104.55,0.05,0.5181650999999999,4984,0.0004774677800014615,0.0001,68301,,,,,
50,6433,323902,106.16,0.05,0.53068433,4988,0.00012965325731784105,0.0001,68475,,,,,
50,6449,324590,112.21,0.05,0.55679101,4992,9.189923002850264e-05,0.0001,68647,,,,,
50,6461,325121,114.91,0.05,0.56430905,4996,9.118769958149642e-05,0.0001,68780,,,,,
50,6474,325680,118.74,0.05,0.58084763,5000,0.00033428362803533673,0.0001,68919,,,,,
50,6494,326498,122.54,0.05,0.58676883,5004,6.991087866481394e-05,0.0001,69124,,,,,
50,6505,326996,125.62,0.05,0.6040566999999999,5008,7.091202132869512e-05,0.0001,69248,,,,,
50,6526,327881,130.21,0.05,0.61363578,5012,7.649633334949613e-05,0.0001,69470,,,,,
50,6543,328550,133.61,0.05,0.62424177,5016,0.00015589201939292252,0.0001,69637,,,,,
50,6557,329077,133.29,0.05,0.62105542,5020,6.35416290606372e-05,0.0001,69769,,,,,
50,6566,329475,133.41,0.05,0.62147305,5024,5.784795939689502e-05,0.0001,69868,,,,,
50,6582,330134,134.14,0.05,0.6248398600000001,5028,8.182616875274107e-05,0.0001,70033,,,,,
50,6592,330610,133.86,0.05,0.6284385100000001,5032,5.5774835345800966e-05,0.0001,70152,,,,,
50,6602,331036,130.99,0.05,0.62267606,5036,0.00010506907710805535,0.0001,70258,,,,,
50,6621,331777,133.51,0.05,0.62867925,5040,8.221149619203061e-05,0.0001,70444,,,,,
50,6628,332125,133.25,0.05,0.63359027,5044,0.00017748963728081435,0.0001,70531,,,,,
50,6640,332614,135.18,0.05,0.6367451500000001,5048,9.363245771965012e-05,0.0001,70653,,,,,
50,6648,332940,134.43,0.05,0.63679173,5052,8.447289292234927e-05,0.0001,70734,,,,,
50,6656,333256,136.18,0.05,0.6493432800000001,5056,8.632642129668966e-05,0.0001,70813,,,,,
50,6676,334116,138.94,0.05,0.6502085100000001,5060,8.919066749513149e-05,0.0001,71028,,,,,
50,6694,334855,142.05,0.05,0.6460128999999999,5064,0.00042763687088154256,0.0001,71213,,,,,
49,6711,335574,146.93,0.05,0.66389754,5068,5.1270566473249346e-05,0.0001,71393,,,,,
49,6726,336233,150.11,0.05,0.6763514600000002,5072,7.208633905975148e-05,0.0001,71558,,,,,
49,6738,336715,148.84,0.05,0.66095851,5076,7.249412010423839e-05,0.0001,71678,,,,,
49,6754,337333,148.9,0.05,0.66335436,5080,5.435518687590957e-05,0.0001,71833,,,,,
49,6770,337939,147.31,0.05,0.64824579,5084,4.667485336540267e-05,0.0001,71984,,,,,
49,6778,338356,144.54,0.05,0.6308712500000001,5088,6.274511542869732e-05,0.0001,72088,,,,,
49,6787,338741,141.51,0.05,0.61508462,5092,0.0001574709895066917,0.0001,72185,,,,,
49,6803,339501,143.8,0.05,0.61822119,5096,3.8156296795932576e-05,0.0001,72375,,,,,
49,6816,339999,143.19,0.05,0.6119936799999999,5100,6.156414747238159e-05,0.0001,72499,,,,,
49,6829,340578,140.8,0.05,0.61795333,5104,0.00012449653877411038,0.0001,72644,,,,,
49,6847,341316,143.2,0.05,0.6196421099999999,5108,3.262719474150799e-05,0.0001,72828,,,,,
49,6861,341934,140.53,0.05,0.6126208499999999,5112,8.371591684408486e-05,0.0001,72983,,,,,
49,6873,342466,139.16,0.05,0.6189658800000001,5116,8.630521915620193e-05,0.0001,73116,,,,,
49,6885,342982,139.05,0.05,0.61901977,5120,0.0003672090242616832,0.0001,73245,,,,,
49,6901,343614,141.39,0.05,0.62230389,5124,3.1513587600784376e-05,0.0001,73403,,,,,
49,6915,344160,140.26,0.05,0.6219917899999998,5128,0.00027846163720823824,0.0001,73539,,,,,
